instance_name,knapsack_size,bias,depth,capweight,T,remaining_value_ratio,global_cost,optimal_global_iterations_classically,global_statistics,to_optimality_global,nested_cost,optimal_inner_iterations_classically,optimal_outer_iterations_classically,optimal_inner_iterations,inner_statistics,outer_statistics,optimal_nested_cost,optimal_global_cost,to_optimality_nested,cut_cost,cut_inner_iterations,cut_inner_statistics,cut_outer_statistics,cut_optimal_inner_classically,cut_optimal_outer_classically,to_optimality_cut,global_gatecost,nested_gatecost,cut_gatecost,greedy_is_optimal
n14_r400_S55_i21_weakly_correlated,14,3.5,1,0.374910394265233,-1,-1.0,742,[9],"[[0, 0, 1, 1, 0, 2, 2, 2, 2, 0, 4, 3, 3]]",True,257,[0],[8],[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 3, 3]]",238,266,True,135.20060077480747,[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 1, 1]]",[0],[4],True,163298,59984,43136,False
n14_r400_S55_i21_weakly_correlated,14,3.5,2,0.374910394265233,-1,-1.0,98,[9],"[[0, 1, 1]]",True,1466,[0],[15],[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 0, 0, 1, 0, 0, 3, 4, 1, 1, 5, 6, 2, 10, 10]]",434,266,True,168.20060077480747,[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 1, 1]]",[0],[3],True,21508,339960,55894,False
n14_r400_S55_i21_weakly_correlated,14,3.5,4,0.374910394265233,-1,-1.0,238,[9],"[[0, 1, 0, 1, 1, 1, 1]]",True,2540,[0],[24],[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 2, 2, 0, 1, 4, 3, 4, 5, 2, 0, 5, 1, 5, 11, 2, 16, 16]]",686,266,True,122.20060077480746,[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",[0],[1],True,52247,588775,39577,False
n14_r400_S55_i21_weakly_correlated,14,3.5,5,0.374910394265233,-1,-1.0,238,[9],"[[0, 0, 0, 0, 1, 2, 2]]",True,529,[0],[22],[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 2, 1, 3, 0, 3, 3]]",630,266,True,197.20060077480747,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 2]]",[0],[5],True,52247,122764,66427,False
n14_r400_S55_i21_weakly_correlated,14,3.5,7,0.374910394265233,-1,-1.0,672,[9],"[[0, 0, 1, 0, 2, 1, 1, 2, 2, 1, 4, 4]]",True,1253,[0],[19],[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 0, 0, 3, 3, 1, 4, 4, 2, 1, 8, 8]]",546,266,True,1033.2006007748075,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 0, 1, 3, 0, 1, 3, 4, 2, 6, 6]]",[0],[14],True,147882,290335,340387,False
n14_r400_S55_i21_weakly_correlated,14,3.5,8,0.374910394265233,-1,-1.0,672,[9],"[[0, 0, 1, 0, 1, 2, 0, 0, 2, 2, 5, 5]]",True,11424,[0],[20],[4],"[[0, 0, 0, 0, 1, 1, 2, 2, 1, 1, 3, 3, 3, 2, 2, 4, 4, 4, 4, 4]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 3, 3, 0, 1, 4, 7, 0, 2, 1, 3, 13, 13]]",574,266,True,814.2006007748074,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 0, 0, 1, 1, 0, 0, 3, 5, 4, 4]]",[0],[14],True,147882,2702469,260790,False
n14_r400_S55_i21_weakly_correlated,14,3.5,9,0.374910394265233,-1,-1.0,98,[9],"[[0, 1, 1]]",True,2102,[0],[19],[0],"[[0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 1, 2, 2, 2, 1, 2, 2, 4, 3, 4, 4, 3, 0, 16, 16]]",546,266,True,1484.4012015496148,[0],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 2, 2, 0, 3, 0, 0, 4, 2, 6, 1, 1, 1, 0, 8, 5, 5]]",[0],[14],True,21508,486906,488973,False
n14_r400_S55_i21_weakly_correlated,14,3.5,11,0.374910394265233,-1,-1.0,504,[9],"[[0, 1, 0, 1, 2, 2, 1, 2, 2, 2]]",True,1511,[0],[17],[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 1, 0, 0, 0, 2, 4, 3, 6, 7, 6, 1, 3, 5, 5]]",490,266,True,843.2006007748074,[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 2, 0, 0, 2, 3, 3, 0, 6, 6]]",[0],[14],True,110865,349690,272721,False
n12_r400_S52_i14_weakly_correlated,12,3.0,1,0.26405384006334126,-1,-1.0,228,[4],"[[0, 0, 0, 1, 1, 2, 2]]",True,113,[0],[3],[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 1, 1]]",84,108,True,262.12954586945455,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0, 2, 1, 1]]",[0],[4],True,44177,24016,82020,False
n12_r400_S52_i14_weakly_correlated,12,3.0,2,0.26405384006334126,-1,-1.0,84,[4],"[[0, 1, 1]]",True,82,[0],[3],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",84,108,True,267.12954586945455,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1, 1, 2, 2]]",[0],[12],True,16261,17594,82875,False
n12_r400_S52_i14_weakly_correlated,12,3.0,3,0.26405384006334126,-1,-1.0,144,[4],"[[0, 0, 1, 0, 1, 1]]",True,87,[0],[3],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",84,108,True,356.12954586945455,[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 2, 1, 2, 0, 0, 2, 2]]",[0],[8],True,27846,18534,115517,False
n12_r400_S52_i14_weakly_correlated,12,3.0,4,0.26405384006334126,-1,-1.0,84,[4],"[[0, 1, 1]]",True,236,[0],[3],[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 3, 3]]",84,108,True,625.1295458694545,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 1, 0, 3, 2, 4, 2, 2, 1, 1]]",[0],[6],True,16261,49377,199014,False
n12_r400_S52_i14_weakly_correlated,12,3.0,6,0.26405384006334126,-1,-1.0,264,[4],"[[0, 0, 1, 1, 0, 0, 0, 0, 2, 2]]",True,186,[0],[2],[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 2]]",60,108,True,995.1295458694545,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 0, 0, 1, 1, 1, 2, 3, 6, 4, 7, 7]]",[0],[17],True,51086,39032,315326,False
n12_r400_S52_i14_weakly_correlated,12,3.0,7,0.26405384006334126,-1,-1.0,252,[4],"[[0, 0, 0, 1, 2, 2, 2]]",True,379,[1],[2],[1],"[[0, 0, 1, 1, 1, 1, 1]]","[[0, 0, 0, 0, 1, 1]]",130,108,True,788.2590917389091,[0],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 2, 1, 1, 0, 1, 3, 1, 2, 6, 6]]",[0],[17],True,48853,82980,251986,False
n12_r400_S52_i14_weakly_correlated,12,3.0,8,0.26405384006334126,-1,-1.0,468,[4],"[[0, 0, 1, 1, 2, 1, 1, 0, 0, 4, 4]]",True,1032,[1],[2],[3],"[[0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0, 0, 0, 0]]",140,108,True,525.1295458694545,[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 2, 2, 2, 0, 3, 3, 3]]",[0],[17],True,90797,223723,164490,False
n12_r400_S52_i14_weakly_correlated,12,3.0,9,0.26405384006334126,-1,-1.0,324,[4],"[[0, 0, 0, 0, 1, 2, 2, 2, 2]]",True,372,[1],[2],[1],"[[0, 0, 0, 1, 1, 1, 1, 1]]","[[0, 0, 0, 0, 0, 0, 0]]",150,108,True,1166.1295458694547,[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 1, 0, 1, 3, 1, 0, 3, 1, 1, 2, 3, 11, 11]]",[0],[17],True,62811,78781,358183,False
n23_r400_S75_i30_weakly_correlated,23,5.75,2,0.3947039720209843,-1,-1.0,46,[4],"[[0, 0]]",True,309,[0],[4],[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 0, 0, 0, 1, 1]]",207,207,True,282.1824195910564,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 2]]",[0],[4],True,9872,69523,82469,False
n23_r400_S75_i30_weakly_correlated,23,5.75,4,0.3947039720209843,-1,-1.0,161,[4],"[[0, 1, 1]]",True,296,[0],[4],[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1]]",207,207,True,177.18241959105637,[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",[0],[2],True,34780,66730,51789,False
n23_r400_S75_i30_weakly_correlated,23,5.75,6,0.3947039720209843,-1,-1.0,943,[4],"[[0, 1, 0, 0, 1, 2, 0, 0, 1, 5, 5]]",True,237,[0],[4],[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 1]]",207,207,True,95.18241959105637,[0],"[[0, 0, 0, 0, 0]]","[[0, 0]]",[0],[2],True,204086,53425,27763,False
n23_r400_S75_i30_weakly_correlated,23,5.75,9,0.3947039720209843,-1,-1.0,621,[4],"[[0, 1, 1, 0, 0, 1, 0, 3, 3]]",True,183,[0],[4],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",207,207,True,202.18241959105637,[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",[0],[1],True,134298,41200,57101,False
n23_r400_S75_i30_weakly_correlated,23,5.75,11,0.3947039720209843,-1,-1.0,575,[4],"[[0, 1, 0, 1, 0, 0, 2, 2, 2]]",True,193,[0],[3],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",161,207,True,235.18241959105637,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1]]",[0],[1],True,124312,43355,66365,False
n23_r400_S75_i30_weakly_correlated,23,5.75,13,0.3947039720209843,-1,-1.0,782,[4],"[[0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 3, 3]]",True,203,[0],[3],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",161,207,True,19616.157829043295,[26],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1, 1, 1, 2, 2, 2, 4, 4, 4, 5, 5, 8, 8, 14, 14, 14, 11, 11, 21, 21, 20, 20, 20, 31, 31, 34, 34, 26, 26, 26, 26, 26]]","[[0, 0, 0]]",[0],[1],True,169078,45650,5251196,False
n23_r400_S75_i30_weakly_correlated,23,5.75,16,0.3947039720209843,-1,-1.0,322,[4],"[[0, 1, 1, 0, 1, 1]]",True,333,[0],[5],[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 1, 1, 1]]",253,207,True,444.1824195910564,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1]]",[0],[6],True,69560,74549,122930,False
