instance_name,knapsack_size,bias,depth,capweight,T,remaining_value_ratio,global_cost,optimal_global_iterations_classically,global_statistics,to_optimality_global,nested_cost,optimal_inner_iterations_classically,optimal_outer_iterations_classically,optimal_inner_iterations,inner_statistics,outer_statistics,optimal_nested_cost,optimal_global_cost,to_optimality_nested,cut_cost,cut_inner_iterations,cut_inner_statistics,cut_outer_statistics,cut_optimal_inner_classically,cut_optimal_outer_classically,to_optimality_cut,global_gatecost,nested_gatecost,cut_gatecost,greedy_is_optimal
n13_r400_S53_i19_weakly_correlated,13,3.25,1,0.35184480791175354,-1,-1.0,520,[4],"[[0, 0, 1, 0, 1, 1, 2, 0, 1, 0, 4, 4]]",True,213,[0],[6],[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 2, 2]]",169,117,True,191.90796076641607,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 2]]",[0],[6],True,100552,44577,61072,False
n13_r400_S53_i19_weakly_correlated,13,3.25,2,0.35184480791175354,-1,-1.0,585,[4],"[[0, 0, 1, 0, 2, 1, 2, 2, 1, 4, 4]]",True,335,[0],[13],[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 2, 1, 1, 2, 2]]",351,117,True,547.9079607664161,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 1, 0, 1, 3, 0, 4, 4]]",[0],[4],True,113231,69522,169710,False
n13_r400_S53_i19_weakly_correlated,13,3.25,3,0.35184480791175354,-1,-1.0,65,[4],"[[0, 0, 0, 0, 0]]",True,158,[0],[11],[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 2]]",299,117,True,214.90796076641607,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 1, 1]]",[0],[3],True,12415,33101,64305,False
n13_r400_S53_i19_weakly_correlated,13,3.25,5,0.35184480791175354,-1,-1.0,299,[4],"[[0, 0, 0, 0, 1, 0, 0, 3, 3]]",True,584,[0],[8],[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 2, 0, 2, 2, 0, 4, 4]]",221,117,True,406.90796076641607,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 1, 0, 2, 2, 1, 1]]",[0],[6],True,57725,120413,130079,False
n13_r400_S53_i19_weakly_correlated,13,3.25,6,0.35184480791175354,-1,-1.0,104,[4],"[[0, 0, 1, 1]]",True,138,[0],[7],[0],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1]]",195,117,True,593.9079607664161,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 2, 2, 3, 2, 3, 3]]",[0],[19],True,20040,28820,184057,False
n13_r400_S53_i19_weakly_correlated,13,3.25,7,0.35184480791175354,-1,-1.0,52,[4],"[[0, 0, 0, 0]]",True,438,[0],[6],[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 2, 1, 1, 3, 3]]",169,117,True,767.9079607664161,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 0, 2, 3, 2, 3, 3, 0, 4, 4]]",[0],[19],True,9932,90270,217746,False
n13_r400_S53_i19_weakly_correlated,13,3.25,9,0.35184480791175354,-1,-1.0,286,[4],"[[0, 0, 0, 1, 1, 1, 2, 2]]",True,1648,[0],[5],[3],"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]]",143,117,True,1101.6527372262658,[0],"[[0, 0, 0, 0, 0, 0, 0, 0]]","[[0, 2, 2, 0, 1, 3, 2, 4, 0, 3, 1, 7, 7]]",[0],[19],True,55242,342320,330758,False
n13_r400_S53_i19_weakly_correlated,13,3.25,10,0.35184480791175354,-1,-1.0,273,[4],"[[0, 0, 0, 0, 0, 0, 0, 3, 3]]",True,180,[0],[5],[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1, 1]]",143,117,True,2043.9079607664162,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 2, 2, 2, 3, 3, 4, 1, 4, 0, 4, 7, 9, 13, 13]]",[0],[19],True,52671,36904,654245,False
n19_r400_S54_i46_weakly_correlated,19,4.75,1,0.8361504907306434,-1,-1.0,874,[6],"[[0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 6, 6]]",True,936,[0],[10],[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 3, 3]]",399,247,True,8442.76131054459,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 0, 2, 3, 0, 2, 4, 3, 0, 6, 3, 9, 0, 12, 7, 14, 5, 5, 32, 6, 47, 47]]",[0],[103],True,215093,238691,2770768,False
n19_r400_S54_i46_weakly_correlated,19,4.75,3,0.8361504907306434,-1,-1.0,475,[6],"[[0, 0, 0, 1, 0, 1, 0, 3, 3]]",True,851,[0],[8],[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1, 2, 1, 1, 0, 1, 5, 5]]",323,247,True,4956.761310544591,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 2, 0, 2, 3, 0, 0, 5, 6, 7, 3, 2, 4, 10, 9, 19, 23, 23]]",[0],[54],True,116798,217140,1665469,False
n19_r400_S54_i46_weakly_correlated,19,4.75,5,0.8361504907306434,-1,-1.0,893,[6],"[[0, 0, 0, 1, 2, 1, 1, 0, 1, 3, 2, 3, 3]]",True,291,[0],[6],[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 2, 1, 1]]",247,247,True,3997.7613105445907,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 1, 1, 3, 2, 1, 1, 5, 1, 5, 7, 0, 4, 7, 9, 10, 7, 14, 14]]",[0],[28],True,219739,74537,1319218,False
n19_r400_S54_i46_weakly_correlated,19,4.75,7,0.8361504907306434,-1,-1.0,475,[6],"[[0, 0, 0, 1, 1, 1, 1, 2, 2]]",True,149,[0],[5],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",209,247,True,1347.7613105445905,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1, 2, 2, 3, 0, 3, 2, 0, 7, 7]]",[0],[14],True,116798,38314,445620,False
n19_r400_S54_i46_weakly_correlated,19,4.75,9,0.8361504907306434,-1,-1.0,608,[6],"[[0, 1, 1, 1, 1, 0, 2, 1, 2, 2]]",True,292,[0],[4],[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 1, 1, 1]]",171,247,True,312.7613105445906,[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 2, 2]]",[0],[7],True,149563,74595,103159,False
