instance_name,knapsack_size,bias,depth,capweight,T,remaining_value_ratio,global_cost,optimal_global_iterations_classically,global_statistics,to_optimality_global,nested_cost,optimal_inner_iterations_classically,optimal_outer_iterations_classically,optimal_inner_iterations,inner_statistics,outer_statistics,optimal_nested_cost,optimal_global_cost,to_optimality_nested,cut_cost,cut_inner_iterations,cut_inner_statistics,cut_outer_statistics,cut_optimal_inner_classically,cut_optimal_outer_classically,to_optimality_cut,global_gatecost,nested_gatecost,cut_gatecost,greedy_is_optimal
n26_r400_S33_i30_weakly_correlated,26,0,2,0.88216632676184,-1,-1.0,8164,[294],"[[0, 1, 1, 0, 0, 2, 0, 0, 4, 5, 4, 6, 0, 8, 3, 5, 7, 12, 20, 0, 34, 34]]",True,25564,[0],[294],[0],"[[0, 0, 0]]","[[1, 0, 1, 2, 3, 1, 1, 1, 5, 1, 2, 4, 5, 3, 11, 11, 18, 22, 10, 28, 25, 1, 9, 54, 17, 17, 84, 70, 70]]",15314,15314,True,19089.32899993842,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 2, 2, 2, 0, 0, 4, 1, 3, 6, 5, 8, 2, 12, 15, 17, 3, 4, 8, 2, 43, 7, 0, 27, 89, 89]]",[0],[232],True,2045674,6588034,6186970,False
n26_r400_S33_i30_weakly_correlated,26,0,5,0.88216632676184,-1,-1.0,31564,[294],"[[0, 0, 0, 1, 0, 2, 1, 2, 4, 1, 2, 0, 0, 7, 5, 11, 5, 11, 24, 14, 20, 29, 1, 41, 53, 43, 85, 62, 84, 84]]",True,2386515,[1],[18853],[0],"[[0, 0, 0, 0, 0, 0, 0, 3, 3]]","[[1, 0, 0, 1, 1, 1, 3, 4, 2, 3, 1, 1, 7, 1, 3, 9, 0, 21, 12, 27, 9, 15, 19, 37, 67, 65, 30, 137, 44, 119, 193, 265, 108, 126, 9, 232, 184, 81, 143, 376, 850, 901, 1513, 1032, 1707, 135, 372, 553, 828, 1510, 1250, 1853, 3812, 13596, 13596]]",1357452,15314,True,56674.32899993842,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 0, 0, 0, 1, 3, 0, 5, 0, 2, 4, 0, 7, 1, 10, 3, 22, 18, 13, 12, 14, 15, 48, 57, 37, 18, 119, 150, 127, 192, 192]]",[0],[232],True,7913090,615170486,17871869,False
n26_r400_S33_i30_weakly_correlated,26,0,7,0.88216632676184,-1,-1.0,12168,[294],"[[0, 1, 0, 1, 1, 1, 0, 3, 2, 4, 0, 1, 8, 4, 3, 4, 6, 7, 19, 30, 28, 25, 37, 37]]",True,21631,[3],[75],[3],"[[0, 0, 1, 1, 0, 0, 2, 2, 2, 1, 1, 1, 3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 3, 3, 1, 4, 4, 8, 5, 11, 4, 9, 9, 1, 28, 24, 24]]",10268,15314,True,9156.328999938423,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 1, 2, 0, 0, 2, 4, 3, 5, 4, 3, 3, 7, 5, 6, 9, 8, 14, 19, 33, 33]]",[0],[232],True,3049608,5955303,2940489,False
n26_r400_S33_i30_weakly_correlated,26,0,10,0.88216632676184,-1,-1.0,34814,[294],"[[0, 0, 0, 1, 0, 2, 0, 2, 2, 2, 5, 4, 2, 7, 10, 2, 14, 11, 11, 6, 26, 45, 28, 27, 69, 54, 73, 126, 126]]",True,32530,[7],[30],[7],"[[0, 0, 1, 1, 0, 0, 2, 2, 4, 4, 4, 4, 4, 4, 5, 5, 5, 7, 7, 7, 7, 7]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 2, 2, 1, 5, 1, 3, 6, 1, 9, 17, 13, 13]]",10126,15314,True,40475.32899993842,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1, 2, 3, 0, 2, 2, 5, 2, 1, 6, 8, 8, 11, 4, 2, 22, 16, 9, 31, 30, 54, 4, 24, 89, 58, 45, 161, 161]]",[0],[232],True,8728163,8820691,11718429,False
n26_r400_S33_i30_weakly_correlated,26,0,13,0.88216632676184,-1,-1.0,9516,[294],"[[0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 6, 0, 0, 3, 12, 13, 15, 13, 21, 26, 29, 29]]",True,34294,[14],[16],[11],"[[0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 3, 4, 4, 2, 2, 5, 5, 11, 11, 11, 11, 11]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 2, 1, 0, 7, 5, 8, 8]]",12870,15314,True,34670.26698011063,[3],"[[0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 5, 2, 7, 1, 1, 8, 2, 15, 1, 4, 31, 31]]",[4],[45],True,2384714,9240877,10351949,False
n26_r400_S33_i30_weakly_correlated,26,0,15,0.88216632676184,-1,-1.0,18902,[294],"[[0, 0, 1, 0, 2, 0, 2, 2, 1, 1, 3, 2, 2, 6, 6, 13, 3, 10, 20, 6, 3, 38, 3, 25, 71, 65, 65]]",True,31545,[21],[12],[14],"[[0, 0, 1, 1, 1, 1, 0, 0, 2, 2, 5, 5, 4, 4, 8, 8, 8, 9, 9, 9, 14, 14, 14, 14, 14]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 3, 3]]",16400,15314,True,62836.892562474975,[9],"[[0, 0, 1, 1, 1, 1, 2, 2, 3, 3, 2, 2, 2, 2, 2, 4, 4, 4, 9, 9, 9, 9, 9]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 5, 8, 8, 5, 3, 1, 4, 12, 12]]",[10],[17],True,4738069,8476485,18873003,False
n26_r400_S33_i30_weakly_correlated,26,0,18,0.88216632676184,-1,-1.0,23842,[294],"[[0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4, 0, 7, 8, 5, 9, 0, 16, 15, 9, 23, 34, 11, 5, 13, 39, 41, 16, 72, 56, 56]]",True,80222,[36],[6],[34],"[[0, 0, 0, 0, 2, 2, 3, 3, 4, 4, 5, 5, 4, 4, 3, 3, 10, 10, 10, 10, 10, 8, 8, 4, 4, 20, 20, 20, 8, 8, 12, 12, 12, 12, 32, 32, 32, 34, 34, 34, 34, 34]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 3]]",17186,15314,True,22584.98958753682,[28],"[[0, 0, 0, 0, 2, 2, 1, 1, 1, 3, 3, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 8, 8, 12, 12, 12, 9, 9, 19, 19, 19, 21, 21, 13, 13, 11, 11, 28, 28, 28, 28, 28]]","[[0, 0]]",[39],[5],True,5976577,21327959,6469109,False
n26_r400_S33_i30_weakly_correlated,26,0,20,0.88216632676184,-1,-1.0,70044,[294],"[[0, 0, 1, 1, 1, 0, 1, 1, 4, 4, 6, 0, 2, 1, 7, 4, 9, 18, 26, 9, 28, 25, 53, 33, 65, 63, 42, 4, 154, 100, 107, 157, 202, 202]]",True,58758,[49],[4],[42],"[[0, 0, 1, 1, 1, 1, 3, 3, 2, 2, 3, 3, 1, 1, 0, 0, 0, 0, 5, 5, 15, 15, 9, 9, 9, 13, 13, 26, 26, 26, 26, 26, 22, 22, 22, 18, 18, 14, 14, 14, 67, 67, 67, 67, 11, 11, 42, 42, 42, 42, 42]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",17874,15314,True,67852.3793656031,[98],"[[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 3, 3, 1, 1, 2, 2, 3, 3, 12, 12, 13, 13, 21, 21, 22, 22, 30, 30, 25, 25, 19, 19, 19, 32, 32, 37, 37, 37, 45, 45, 98, 98, 98, 98, 98]]","[[0, 0, 0]]",[94],[1],True,17562398,15470588,18910671,False
n10_r400_S50_i21_weakly_correlated,10,0,1,0.4115296803652968,-1,-1.0,70,[1],"[[0, 1, 1]]",True,75,[0],[1],[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1]]",30,30,True,382.31486149124737,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 0, 0, 2, 3, 2, 2, 1, 1]]",[0],[1],True,13305,15834,124891,False
n10_r400_S50_i21_weakly_correlated,10,0,2,0.4115296803652968,-1,-1.0,20,[1],"[[0, 0]]",True,70,[0],[1],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",30,30,True,97.31486149124736,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1]]",[0],[1],True,3758,14858,32158,False
