instance_name,knapsack_size,bias,depth,capweight,T,remaining_value_ratio,global_cost,optimal_global_iterations_classically,global_statistics,to_optimality_global,nested_cost,optimal_inner_iterations_classically,optimal_outer_iterations_classically,optimal_inner_iterations,inner_statistics,outer_statistics,optimal_nested_cost,optimal_global_cost,to_optimality_nested,cut_cost,cut_inner_iterations,cut_inner_statistics,cut_outer_statistics,cut_optimal_inner_classically,cut_optimal_outer_classically,to_optimality_cut,global_gatecost,nested_gatecost,cut_gatecost,greedy_is_optimal
n23_r400_S75_i53_uncorrelated,23,5.75,2,0.6972746331236898,-1,-1.0,5773,[19],"[[0, 0, 1, 0, 0, 1, 2, 0, 3, 1, 4, 7, 4, 7, 0, 3, 8, 21, 1, 26, 26]]",True,1869,[0],[17],[0],"[[0, 0, 0]]","[[1, 2, 1, 0, 0, 3, 0, 4, 5, 2, 0, 8, 8]]",805,897,True,467.954294547924,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 1, 2, 2]]",[0],[17],True,1459091,487491,152068,False
n23_r400_S75_i53_uncorrelated,23,5.75,4,0.6972746331236898,-1,-1.0,2323,[19],"[[0, 1, 0, 0, 0, 2, 2, 0, 1, 0, 1, 1, 5, 4, 9, 8, 8]]",True,1262,[0],[16],[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 2, 0, 1, 2, 2, 4, 5, 5]]",759,897,True,661.954294547924,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 0, 1, 2, 2, 2]]",[0],[16],True,586778,329764,212782,False
n23_r400_S75_i53_uncorrelated,23,5.75,6,0.6972746331236898,-1,-1.0,1058,[19],"[[0, 1, 0, 1, 2, 1, 0, 2, 1, 1, 4, 4]]",True,4170,[0],[13],[3],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 2, 2, 3, 1, 5, 5]]",621,897,True,441.954294547924,[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 1, 2, 2]]",[0],[14],True,267073,1179125,138599,False
n23_r400_S75_i53_uncorrelated,23,5.75,9,0.6972746331236898,-1,-1.0,736,[19],"[[0, 1, 1, 0, 1, 2, 0, 2, 2, 2]]",True,1199,[0],[12],[0],"[[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]]","[[0, 2, 2, 0, 2, 3, 3]]",575,897,True,1077.954294547924,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 1, 0, 0, 0, 3, 4, 3, 3]]",[0],[12],True,185723,320708,359860,False
n23_r400_S75_i53_uncorrelated,23,5.75,11,0.6972746331236898,-1,-1.0,1817,[19],"[[0, 1, 0, 1, 2, 1, 2, 2, 2, 1, 6, 5, 1, 4, 4]]",True,7686,[0],[9],[5],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 4, 4, 3, 3, 4, 4, 4, 9, 9, 4, 4, 4, 5, 5, 5, 5, 5]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 3, 3]]",437,897,True,857.954294547924,[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 0, 0, 4, 4, 4]]",[0],[11],True,458896,2099587,275482,False
n23_r400_S75_i53_uncorrelated,23,5.75,13,0.6972746331236898,-1,-1.0,1610,[19],"[[0, 0, 0, 1, 0, 0, 0, 0, 4, 3, 0, 4, 8, 8]]",True,2128,[0],[8],[2],"[[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2]]",391,897,True,1120.954294547924,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 1, 1, 3, 2, 0, 4, 4]]",[0],[10],True,406588,568895,372843,False
n23_r400_S75_i53_uncorrelated,23,5.75,16,0.6972746331236898,-1,-1.0,1288,[19],"[[0, 0, 1, 0, 1, 0, 2, 0, 3, 5, 5, 5]]",True,2067,[0],[13],[4],"[[0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 1, 1, 1, 4, 4, 4, 4, 4]]","[[0, 0, 0, 0, 0]]",621,897,True,8019.456568886304,[2],"[[0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 2, 1, 3, 5, 5]]",[0],[13],True,325238,551286,2390471,False
n23_r400_S75_i53_uncorrelated,23,5.75,18,0.6972746331236898,-1,-1.0,1242,[19],"[[0, 1, 1, 1, 2, 1, 0, 1, 3, 5, 3, 3]]",True,7808,[0],[29],[0],"[[0, 0, 0, 0, 0, 0, 0]]","[[1, 2, 2, 2, 1, 3, 1, 2, 5, 6, 6, 5, 5, 1, 0, 5, 6, 9, 8, 22, 32, 32]]",1357,897,True,64734.902186864594,[20],"[[0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 5, 5, 5, 3, 3, 3, 11, 11, 11, 11, 11, 11, 11, 20, 20, 20, 20, 20]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 5, 5]]",[0],[21],True,313605,2035732,18325484,False
n12_r400_S52_i20_uncorrelated,12,3.0,1,0.3771807397069086,-1,-1.0,96,[1],"[[0, 0, 1, 1]]",True,101,[0],[2],[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 1, 1]]",60,36,True,311.2789488327622,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 2, 0, 3, 3]]",[0],[3],True,21974,25187,105583,False
n12_r400_S52_i20_uncorrelated,12,3.0,2,0.3771807397069086,-1,-1.0,96,[1],"[[0, 0, 1, 1]]",True,154,[0],[2],[0],"[[0, 0, 0, 0, 0]]","[[0, 0, 2, 2]]",60,36,True,232.27894883276218,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1, 2, 2]]",[0],[3],True,21974,37948,77151,False
n12_r400_S52_i20_uncorrelated,12,3.0,3,0.3771807397069086,-1,-1.0,96,[1],"[[0, 0, 1, 1]]",True,87,[0],[2],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",60,36,True,165.27894883276218,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 2]]",[0],[4],True,21974,21544,58191,False
n12_r400_S52_i20_uncorrelated,12,3.0,4,0.3771807397069086,-1,-1.0,84,[1],"[[0, 1, 1]]",True,92,[0],[1],[0],"[[0, 0, 0, 0, 0]]","[[1, 1]]",36,36,True,242.27894883276218,[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 1, 2, 2]]",[0],[4],True,19251,22714,87947,False
n12_r400_S52_i20_uncorrelated,12,3.0,6,0.3771807397069086,-1,-1.0,24,[1],"[[0, 0]]",True,54,[0],[2],[0],"[[0, 0, 0, 0, 0]]","[[0, 0]]",60,36,True,474.08316463070594,[0],"[[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]]","[[0, 2, 2, 2, 2]]",[0],[5],True,5446,13288,159421,False
n12_r400_S52_i20_uncorrelated,12,3.0,7,0.3771807397069086,-1,-1.0,72,[1],"[[0, 0, 0, 0, 0, 0]]",True,546,[0],[2],[0],"[[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 3, 3, 3]]","[[0, 1, 1]]",60,36,True,6002.28962744003,[6],"[[0, 0, 0, 1, 1, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 6, 6, 6, 6, 6]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2]]",[0],[7],True,16338,136629,1902763,False
n12_r400_S52_i20_uncorrelated,12,3.0,8,0.3771807397069086,-1,-1.0,84,[1],"[[0, 1, 1]]",True,172,[0],[2],[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 2]]",60,36,True,1133.7094994566141,[2],"[[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0]]",[0],[6],True,19251,41889,332215,False
n12_r400_S52_i20_uncorrelated,12,3.0,9,0.3771807397069086,-1,-1.0,24,[1],"[[0, 0]]",True,144,[0],[2],[0],"[[0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1]]",60,36,True,9204.62546172255,[5],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 1, 1, 0, 0, 0, 6, 6, 9, 9, 5, 5, 5, 5, 5]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 1, 4, 4]]",[0],[6],True,5446,34952,2728148,False
